Ball,Times Drawn,Percentage Drawn
24,37,5.02
15,34,4.61
7,32,4.34
25,32,4.34
13,31,4.21
17,31,4.21
19,31,4.21
6,30,4.07
8,30,4.07
12,30,4.07
9,29,3.93
11,29,3.93
20,29,3.93
5,28,3.8
10,28,3.8
16,28,3.8
22,28,3.8
18,27,3.66
1,26,3.53
3,25,3.39
23,25,3.39
26,25,3.39
2,24,3.26
21,24,3.26
4,23,3.12
14,21,2.85
