Ball,Times Drawn,Percentage Drawn
9,51,6.59
7,49,6.33
15,47,6.07
3,45,5.81
1,44,5.68
6,44,5.68
10,43,5.56
11,43,5.56
13,42,5.43
4,39,5.04
8,39,5.04
14,39,5.04
2,38,4.91
12,37,4.78
5,30,3.88
19,21,2.71
20,20,2.58
24,16,2.07
25,16,2.07
22,13,1.68
16,12,1.55
21,12,1.55
23,12,1.55
17,11,1.42
18,11,1.42
